City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Port Blair,IN,11.6667,92.75,82.81,83,100,19.39,overcast clouds
182,Provideniya,RU,64.3833,-173.3,50.11,81,90,8.95,moderate rain
183,Glendive,US,47.1053,-104.7125,100.02,27,1,11.5,clear sky
184,Kruisfontein,ZA,-34.0033,24.7314,53.89,84,35,14.23,scattered clouds
185,Victoria,HK,22.2855,114.1577,92.97,85,99,7.0,overcast clouds
186,Salaberry-De-Valleyfield,CA,45.2501,-74.1325,64.87,89,8,2.3,clear sky
187,Srednekolymsk,RU,67.45,153.6833,37.49,97,100,9.33,light rain
188,Port Lincoln,AU,-34.7333,135.8667,55.62,60,22,25.46,few clouds
189,Acayuca,MX,20.0333,-98.8333,56.35,82,56,7.65,broken clouds
190,Port Elizabeth,ZA,-33.918,25.5701,57.49,82,0,11.5,clear sky
191,Kazerun,IR,29.6195,51.6541,90.5,18,4,10.11,clear sky
192,Benguela,AO,-12.5763,13.4055,69.12,86,47,2.3,scattered clouds
193,Ambon,ID,-3.6954,128.1814,89.74,70,40,4.61,scattered clouds
194,Jaciara,BR,-15.9653,-54.9683,67.51,69,4,8.84,clear sky
195,Camana,PE,-16.6228,-72.7111,59.99,87,82,8.37,broken clouds
196,Ocosingo,MX,17.0667,-92.25,63.23,98,100,1.99,overcast clouds
197,Hailar,CN,49.2,119.7,73.4,60,76,10.78,broken clouds
198,Shahabad,IN,27.65,79.95,81.23,87,100,6.98,overcast clouds
199,Dalaba,GN,10.7,-12.25,63.41,99,100,2.53,light rain
200,Muli,MV,2.9167,73.5667,80.71,78,100,10.27,overcast clouds
201,Lake Charles,US,30.2131,-93.2044,77.02,88,1,8.05,clear sky
202,Yilan,TW,24.757,121.753,95.11,60,100,4.83,overcast clouds
203,Mecca,SA,21.4267,39.8261,81.39,75,98,5.5,overcast clouds
204,Carutapera,BR,-1.195,-46.02,76.39,87,82,5.55,broken clouds
205,Ahipara,NZ,-35.1667,173.1667,60.17,78,72,8.41,broken clouds
206,Lebu,CL,-37.6167,-73.65,45.86,80,0,21.88,clear sky
207,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,88,10,7.76,clear sky
208,Miranda,CO,3.2499,-76.2281,69.93,88,9,5.66,clear sky
209,Pisco,PE,-13.7,-76.2167,63.01,82,0,17.27,clear sky
210,Saint George,US,37.1041,-113.5841,94.62,26,1,1.01,clear sky
211,Airai,TL,-8.9266,125.4092,74.14,34,91,4.61,overcast clouds
212,Beringovskiy,RU,63.05,179.3167,48.72,87,100,14.18,light rain
213,Taldan,RU,53.6667,124.8,63.19,99,100,5.66,moderate rain
214,Disa,IN,24.25,72.1667,79.93,82,100,15.55,overcast clouds
215,Jasa Tomic,RS,45.4469,20.8553,82.45,59,18,3.29,few clouds
216,Svetlyy,RU,54.675,20.1347,64.45,91,32,7.47,scattered clouds
217,Wallasey,GB,53.4232,-3.065,61.88,65,100,5.99,light rain
218,Yuzhno-Kurilsk,RU,44.0306,145.8556,70.02,82,41,9.17,scattered clouds
219,Klaksvik,FO,62.2266,-6.589,50.92,96,99,4.54,overcast clouds
220,Robertsport,LR,6.7533,-11.3686,77.36,80,100,12.97,overcast clouds
221,Te Anau,NZ,-45.4167,167.7167,51.82,72,96,2.98,overcast clouds
222,Namibe,AO,-15.1961,12.1522,64.51,84,0,4.25,clear sky
223,Bouafle,CI,6.9904,-5.7442,73.42,94,99,3.87,overcast clouds
224,Richards Bay,ZA,-28.783,32.0377,60.55,69,0,14.58,clear sky
225,Coari,BR,-4.085,-63.1414,77.7,59,5,3.29,clear sky
226,Inhambane,MZ,-23.865,35.3833,64.4,64,0,6.71,clear sky
227,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,88,40,9.08,scattered clouds
228,Mayo,US,38.8876,-76.5119,83.39,84,0,4.54,clear sky
229,Kabo,CF,7.6994,18.629,68.97,98,100,3.06,overcast clouds
230,Bogotol,RU,56.2078,89.5342,59.31,73,100,0.89,overcast clouds
231,Dicabisagan,PH,17.0818,122.4157,87.03,67,100,4.47,moderate rain
232,Pevek,RU,69.7008,170.3133,37.18,89,98,8.43,overcast clouds
233,Geraldton,AU,-28.7667,114.6,65.12,88,90,11.5,overcast clouds
234,Agadez,NE,19.75,10.25,81.03,56,55,5.93,broken clouds
235,Aksarka,RU,66.5606,67.7975,45.66,95,100,12.62,light rain
236,Stromness,GB,58.965,-3.296,55.65,95,100,13.73,overcast clouds
237,Ambilobe,MG,-13.2,49.05,63.45,86,2,3.22,clear sky
238,Gigmoto,PH,13.7796,124.39,86.13,73,99,16.91,overcast clouds
239,Hay River,CA,60.8156,-115.7999,64.38,55,75,3.44,broken clouds
240,Asau,RO,46.4333,26.4,72.39,71,11,6.11,few clouds
241,Teya,RU,60.3778,92.6267,59.9,76,99,7.54,overcast clouds
242,Lagoa,PT,39.05,-27.9833,70.02,90,99,7.9,overcast clouds
243,Coihaique,CL,-45.5752,-72.0662,37.35,81,0,4.61,clear sky
244,Sur,OM,22.5667,59.5289,97.36,39,100,24.76,overcast clouds
245,The Valley,AI,18.217,-63.0578,82.26,76,2,19.64,clear sky
246,Waingapu,ID,-9.6567,120.2641,85.08,57,31,13.78,scattered clouds
247,Ribeira Grande,PT,38.5167,-28.7,72.03,85,52,9.28,broken clouds
248,Dharchula,IN,29.85,80.5333,75.25,97,91,2.04,overcast clouds
249,Praya,CV,14.9215,-23.5087,77.54,78,75,8.05,broken clouds
250,Beloha,MG,-25.1667,45.05,61.97,75,0,12.03,clear sky
251,Codrington,AU,-38.2667,141.9667,49.05,84,100,21.23,overcast clouds
252,Dikson,RU,73.5069,80.5464,37.53,99,100,12.95,overcast clouds
253,Bilma,NE,18.6853,12.9164,86.63,48,97,8.57,overcast clouds
254,Mitchell,US,43.7094,-98.0298,88.11,76,19,1.99,few clouds
255,Porto Novo,BJ,6.4965,2.6036,76.82,83,100,7.72,overcast clouds
256,Coquimbo,CL,-29.9533,-71.3436,51.53,93,0,1.14,clear sky
257,Betong,TH,5.7743,101.0723,82.33,70,84,2.37,broken clouds
258,Santa Lucia,ES,27.9117,-15.5407,64.76,73,75,21.85,broken clouds
259,Bay Roberts,CA,47.5999,-53.2648,67.75,98,100,5.01,light rain
260,Castro,BR,-24.7911,-50.0119,47.17,91,100,6.89,overcast clouds
261,Khandela,IN,27.6,75.5,77.59,88,100,11.39,overcast clouds
262,Usogorsk,RU,63.4106,48.6872,45.64,82,100,6.93,overcast clouds
263,Fuxin,CN,42.0156,121.6589,87.85,53,100,2.17,overcast clouds
264,Manjakandriana,MG,-18.9167,47.8,46.09,95,16,2.57,few clouds
265,Mocuba,MZ,-16.8392,36.9856,59.86,96,99,3.0,overcast clouds
266,Erzin,TR,36.9559,36.2,79.32,71,0,4.83,clear sky
267,Dawson Creek,CA,55.7666,-120.2362,72.75,28,20,14.97,few clouds
268,Vardo,NO,70.3705,31.1107,46.36,87,97,14.9,overcast clouds
269,San Patricio,US,28.017,-97.5169,86.68,65,30,8.57,scattered clouds
270,Pitkyaranta,RU,61.5734,31.4792,60.22,90,54,6.44,light rain
271,Honningsvag,NO,70.9821,25.9704,46.69,86,100,3.31,overcast clouds
272,Comodoro Rivadavia,AR,-45.8667,-67.5,37.26,75,0,4.61,clear sky
273,Marigot,MF,18.0667,-63.0833,82.18,78,40,8.05,scattered clouds
274,Broome,US,42.2506,-75.833,67.69,97,90,1.01,mist
275,Camposampiero,IT,45.5684,11.9354,69.6,94,2,3.36,clear sky
276,Suhbaatar,MN,50.2314,106.2078,73.31,53,14,1.23,few clouds
277,Pak Phanang,TH,8.3511,100.202,88.41,67,82,13.62,broken clouds
278,Pafos,CY,34.7667,32.4167,78.58,69,0,2.3,clear sky
279,Dhidhdhoo,MV,6.8833,73.1,81.64,78,53,14.85,broken clouds
280,Puerto Leguizamo,CO,-0.1934,-74.7819,71.91,96,99,0.34,overcast clouds
281,Mega,ET,4.05,38.3,54.77,77,100,16.75,overcast clouds
282,Brovary,UA,50.5,30.7667,71.89,88,40,8.95,scattered clouds
283,Olafsvik,IS,64.8945,-23.7142,51.22,87,100,14.23,overcast clouds
284,Saskylakh,RU,71.9167,114.0833,64.78,42,20,19.73,few clouds
285,Ajdabiya,LY,30.7554,20.2263,77.02,53,0,3.38,clear sky
286,Hobyo,SO,5.3505,48.5268,76.37,77,100,19.66,overcast clouds
287,Dekar,BW,-21.5333,21.9333,45.16,60,0,7.18,clear sky
288,Whitehorse,CA,60.7161,-135.0538,65.01,63,40,15.99,scattered clouds
289,Venado Tuerto,AR,-33.7456,-61.9688,37.69,59,9,9.17,clear sky
290,Vao,NC,-22.6667,167.4833,68.09,63,46,16.08,scattered clouds
291,Sanming,CN,26.2486,117.6186,91.53,61,4,4.59,clear sky
292,Anadyr,RU,64.75,177.4833,50.0,93,75,21.99,light intensity shower rain
293,Katima Mulilo,NA,-17.5,24.2667,45.75,71,0,3.2,clear sky
294,Kalabo,ZM,-14.97,22.6814,46.67,66,7,5.64,clear sky
295,Camalu,MX,30.85,-116.0667,80.42,71,15,9.08,few clouds
296,Aviles,ES,43.5547,-5.9248,65.93,86,75,4.0,broken clouds
297,Hasaki,JP,35.7333,140.8333,91.29,81,100,20.54,overcast clouds
298,Zhucheng,CN,35.9947,119.3975,77.88,86,100,12.95,light rain
299,Chulym,RU,55.0997,80.9572,59.65,66,100,2.64,overcast clouds
300,Northview,US,43.0456,-85.6006,75.87,72,54,1.01,broken clouds
301,Solnechnyy,RU,50.7214,136.6319,82.87,72,44,3.49,scattered clouds
302,Sarandi,BR,-23.4436,-51.8739,51.35,71,75,13.8,broken clouds
303,Muroto,JP,33.2833,134.15,86.04,70,95,3.02,overcast clouds
304,Kyra,RU,49.5776,111.9753,67.14,70,2,3.58,clear sky
305,College,US,64.8569,-147.8028,64.38,81,90,10.36,light rain
