City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Avera,US,81.91,broken clouds,33.194,-82.5271,
85,Alofi,NU,75.09,light rain,-19.0595,-169.9187,Taloa Heights
89,Hithadhoo,MV,80.46,broken clouds,-0.6,73.0833,Scoop Guest House
91,Ratnagiri,IN,80.04,broken clouds,16.9833,73.3,Hotel Landmark
92,Kilindoni,TZ,75.25,light rain,-7.9139,39.6668,Bustani B&B
93,Noumea,NC,76.98,few clouds,-22.2763,166.4572,Hôtel Le Lagon
95,Sioux Lookout,CA,77.38,smoke,50.1001,-91.917,Knobby's Fly-In Camps
104,Vanavara,RU,82.96,clear sky,60.34,102.2797,
107,Faanui,PF,77.79,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
109,Bud,US,80.06,clear sky,39.447,-86.1758,Ted McQuinn Trust
111,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
113,Tessalit,ML,85.93,overcast clouds,20.1986,1.0114,
116,Parrita,CR,84.25,overcast clouds,9.5201,-84.3225,Beso del Viento
117,Bonthe,SL,76.62,light rain,7.5264,-12.505,Bonthe Holiday Village
124,Sinnamary,GF,77.72,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
127,Negara,ID,80.6,scattered clouds,-8.3151,114.6025,Villa Maya West Bali
129,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
135,Kandrian,PG,82.65,light rain,-6.2167,149.55,Kandrian Station
136,Kirakira,SB,85.17,broken clouds,-10.4544,161.9205,SanBiz Lodge
139,Lorengau,PG,84.11,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
141,Shiloh,US,83.08,clear sky,38.5614,-89.8973,Hilton Garden Inn St. Louis Shiloh/O’Fallon IL
148,Neiafu,TO,77.68,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
151,Katsuura,JP,86.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
154,Biak,ID,81.75,overcast clouds,-0.9131,122.8766,Penginapan Kim
156,Kogon,UZ,80.24,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
164,Howard Springs,AU,84.97,broken clouds,-12.497,131.047,buffalo beach hostel
167,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
169,Tukrah,LY,75.31,clear sky,32.5341,20.5791,Lokta restaurant
171,Bandarbeyla,SO,79.29,scattered clouds,9.4942,50.8122,JABIR HOTEL
173,Payo,ID,80.24,scattered clouds,-3.7508,103.6372,Mess keban agung
174,Namatanai,PG,85.57,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
175,Sabalgarh,IN,80.15,overcast clouds,26.25,77.4,Kailadevi studio
176,Bubaque,GW,80.33,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
193,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
198,Shahabad,IN,81.23,overcast clouds,27.65,79.95,डाक बंगला
200,Muli,MV,80.71,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
201,Lake Charles,US,77.02,clear sky,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
203,Mecca,SA,81.39,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
204,Carutapera,BR,76.39,broken clouds,-1.195,-46.02,Lidera
214,Disa,IN,79.93,overcast clouds,24.25,72.1667,Hinglaj Hotel and Restaurant
215,Jasa Tomic,RS,82.45,few clouds,45.4469,20.8553,
220,Robertsport,LR,77.36,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
225,Coari,BR,77.7,clear sky,-4.085,-63.1414,HOTEL ALEX FLAT
227,Nieuw Amsterdam,SR,80.02,scattered clouds,5.8833,-55.0833,Globe Hotel
228,Mayo,US,83.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
231,Dicabisagan,PH,87.03,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
234,Agadez,NE,81.03,broken clouds,19.75,10.25,
238,Gigmoto,PH,86.13,overcast clouds,13.7796,124.39,Cj's Travellers Inn
245,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
246,Waingapu,ID,85.08,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
248,Dharchula,IN,75.25,overcast clouds,29.85,80.5333,Mahara Hotel
249,Praya,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
253,Bilma,NE,86.63,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
254,Mitchell,US,88.11,few clouds,43.7094,-98.0298,Kelly Inn & Suites
255,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
257,Betong,TH,82.33,broken clouds,5.7743,101.0723,New Cathay Hotel
261,Khandela,IN,77.59,overcast clouds,27.6,75.5,Castle Khandela
263,Fuxin,CN,87.85,overcast clouds,42.0156,121.6589,Xinya International Hotel
266,Erzin,TR,79.32,clear sky,36.9559,36.2,Artemis Otel
269,San Patricio,US,86.68,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
273,Marigot,MF,82.18,scattered clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
277,Pak Phanang,TH,88.41,broken clouds,8.3511,100.202,Green Park Inn Hotel
278,Pafos,CY,78.58,clear sky,34.7667,32.4167,Elysium Hotel
279,Dhidhdhoo,MV,81.64,broken clouds,6.8833,73.1,Dhidhoo beach
285,Ajdabiya,LY,77.02,clear sky,30.7554,20.2263,Almadina Hotel
286,Hobyo,SO,76.37,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
295,Camalu,MX,80.42,few clouds,30.85,-116.0667,La Cueva del Pirata
298,Zhucheng,CN,77.88,light rain,35.9947,119.3975,Fanrong Hotel
300,Northview,US,75.87,broken clouds,43.0456,-85.6006,Comfort Suites Grand Rapids North
301,Solnechnyy,RU,82.87,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
303,Muroto,JP,86.04,overcast clouds,33.2833,134.15,Oota Ryokan
306,Zaranj,AF,86.88,overcast clouds,30.9667,61.8833,غزنوی هوتل
309,Veraval,IN,81.93,overcast clouds,20.9,70.3667,Lords Inn Somnath
310,Colgong,IN,81.64,overcast clouds,25.2667,87.2167,Hotel Sachin
311,Nishihara,JP,87.46,scattered clouds,26.1842,127.7558,Minshuku Agaihama
313,Oussouye,SN,79.32,overcast clouds,12.485,-16.5469,Auberge du Routard
316,Jiayuguan,CN,82.11,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
317,Maunabo,PR,82.24,broken clouds,18.0072,-65.8993,Maunacaribe
319,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
321,La Asuncion,VE,80.33,few clouds,11.0333,-63.8628,Colinas de Matasiete
325,Sarangani,PH,84.15,broken clouds,5.4033,125.4636,Ballistic Islet
328,Bengkulu,ID,80.24,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
334,Samarai,PG,78.96,moderate rain,-10.6167,150.6667,Nuli Sapi
338,Tripoli,LY,76.21,clear sky,32.8752,13.1875,Hotel Al-Safwa
341,Nortelandia,BR,76.05,few clouds,-14.4547,-56.8028,Hotel Karysmã
347,Port Hedland,AU,77.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
349,Port Keats,AU,86.58,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
350,Senigallia,IT,76.01,broken clouds,43.7093,13.2167,Hotel Universal
351,Phonhong,LA,82.22,broken clouds,18.5007,102.4166,Manyvong Guest House
352,Price,US,77.11,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
357,Akyab,MM,79.9,moderate rain,20.15,92.9,Hotel Memory
361,Ambulu,ID,80.6,clear sky,-8.345,113.6058,Hotel Ambulu Jember
362,Shimoda,JP,82.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
364,Marsaxlokk,MT,80.08,clear sky,35.8419,14.5431,Water's Edge
367,Hamilton,US,78.84,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
368,Ankang,CN,79.5,overcast clouds,32.68,109.0172,安琪酒店
370,Kushima,JP,87.31,clear sky,31.4583,131.2333,Hanaoka
372,Dennery,LC,80.69,few clouds,13.8996,-60.8879,The Fox Grove Inn
373,Suntar,RU,81.41,clear sky,62.1444,117.6319,Дом у Мамы
375,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
377,Paracuru,BR,80.11,clear sky,-3.41,-39.0306,Hotel Vento Brasil
378,Saint Anthony,US,89.04,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
383,Cuautepec,MX,76.93,broken clouds,16.7,-99.0,
386,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
388,Dustlik,UZ,76.98,clear sky,40.5247,68.0358,
392,Gat,IL,77.92,clear sky,31.61,34.7642,OlusHome
393,Madaoua,NE,76.17,overcast clouds,14.073,5.96,
