City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,Russell,32.3502,-85.1999,79.52,94,1,6.91,US,2021-07-28 00:42:39
198,Georgetown,5.4112,100.3354,83.89,85,20,1.01,MY,2021-07-28 00:40:56
199,Wamba,8.9333,8.6,69.39,89,97,3.0,NG,2021-07-28 00:39:46
200,Barra Do Garcas,-15.89,-52.2567,75.94,37,93,2.26,BR,2021-07-28 00:42:41
201,Viseu,40.661,-7.9097,58.69,91,0,1.97,PT,2021-07-28 00:42:41
202,Douentza,14.9951,-2.9517,84.31,62,100,5.57,ML,2021-07-28 00:42:42
203,Joigny,47.9829,3.401,63.81,91,100,9.98,FR,2021-07-28 00:42:43
204,Khanpur,28.6453,70.6567,85.77,66,100,16.02,PK,2021-07-28 00:42:43
205,Alta Floresta,-9.8756,-56.0861,75.34,40,3,3.4,BR,2021-07-28 00:42:44
206,Itoman,26.1247,127.6694,86.4,79,75,12.66,JP,2021-07-28 00:42:44
207,Vila Franca Do Campo,37.7167,-25.4333,68.41,87,9,7.87,PT,2021-07-28 00:42:45
208,Viedma,-40.8135,-62.9967,44.56,66,92,19.55,AR,2021-07-28 00:42:45
209,Adrar,20.5022,-10.0711,87.49,30,100,12.71,MR,2021-07-28 00:42:45
210,Horn Lake,34.9554,-90.0348,89.58,69,75,8.05,US,2021-07-28 00:40:31
211,Hovd,48.0056,91.6419,69.93,40,0,1.72,MN,2021-07-28 00:42:46
212,Ambulu,-8.345,113.6058,77.18,73,5,2.28,ID,2021-07-28 00:42:46
213,Uyuni,-20.4597,-66.825,36.79,37,0,22.64,BO,2021-07-28 00:42:46
214,Lyubech,51.7026,30.6569,64.6,97,100,6.49,UA,2021-07-28 00:42:47
215,Masallatah,32.6167,14.0,72.09,80,0,8.08,LY,2021-07-28 00:42:47
216,Jiuquan,39.7432,98.5174,80.8,20,92,0.89,CN,2021-07-28 00:42:47
217,Pisco,-13.7,-76.2167,63.01,82,0,19.57,PE,2021-07-28 00:42:48
218,Grand Gaube,-20.0064,57.6608,67.37,90,100,5.99,MU,2021-07-28 00:42:48
219,Esperance,-33.8667,121.9,48.04,69,2,15.68,AU,2021-07-28 00:42:48
220,Khorixas,-20.3667,14.9667,58.33,30,0,7.87,NA,2021-07-28 00:42:49
221,Beringovskiy,63.05,179.3167,49.15,89,100,11.52,RU,2021-07-28 00:42:49
222,Ocote Paulino,15.4167,-87.6,82.6,96,100,3.2,HN,2021-07-28 00:42:49
223,Kibre Mengist,5.8833,38.9833,58.33,80,100,2.35,ET,2021-07-28 00:42:50
224,Mackay,-21.15,149.2,74.68,73,75,5.75,AU,2021-07-28 00:42:50
225,Owosso,42.9978,-84.1766,79.43,57,1,3.44,US,2021-07-28 00:42:50
226,High Rock,26.6208,-78.2833,84.22,71,0,8.12,BS,2021-07-28 00:42:51
227,Xixiang,35.1628,112.865,80.89,79,95,0.49,CN,2021-07-28 00:42:51
228,Itabera,-23.8619,-49.1372,58.15,94,100,7.25,BR,2021-07-28 00:42:51
229,Wangqing,43.3218,129.7634,89.83,48,1,2.1,CN,2021-07-28 00:42:52
230,Waingapu,-9.6567,120.2641,83.1,60,41,13.91,ID,2021-07-28 00:42:52
231,Pa Sang,18.5262,98.9394,81.01,57,100,1.05,TH,2021-07-28 00:42:52
232,Mpika,-11.8343,31.4529,43.79,70,58,4.76,ZM,2021-07-28 00:42:53
233,Saint-Philippe,-21.3585,55.7679,69.39,89,99,13.56,RE,2021-07-28 00:42:53
234,Guerrero Negro,27.9769,-114.0611,74.66,67,0,17.36,MX,2021-07-28 00:42:53
235,Ulladulla,-35.35,150.4667,68.9,39,6,9.1,AU,2021-07-28 00:42:54
236,Boyabat,41.4689,34.7667,62.98,84,0,5.75,TR,2021-07-28 00:42:54
237,Port Keats,-14.25,129.55,85.17,46,10,0.36,AU,2021-07-28 00:42:54
238,Tasiilaq,65.6145,-37.6368,37.56,80,23,7.87,GL,2021-07-28 00:42:55
239,Socorro,31.6546,-106.3033,96.91,21,40,4.61,US,2021-07-28 00:42:55
240,Sovetskiy,61.3614,63.5842,45.34,79,99,5.73,RU,2021-07-28 00:42:56
241,Longyearbyen,78.2186,15.6401,42.64,93,75,11.5,SJ,2021-07-28 00:42:56
242,Boguchany,58.3814,97.4531,66.38,84,100,7.38,RU,2021-07-28 00:42:56
243,Pangnirtung,66.1451,-65.7125,49.87,72,100,2.77,CA,2021-07-28 00:41:56
244,Yulara,-25.2406,130.9889,64.24,48,90,4.61,AU,2021-07-28 00:42:57
245,Kruisfontein,-34.0033,24.7314,51.89,82,55,15.26,ZA,2021-07-28 00:42:57
246,Tonj,7.2737,28.6822,68.47,96,94,3.65,SS,2021-07-28 00:42:57
247,Dimbokro,6.6451,-4.7048,70.12,97,68,4.23,CI,2021-07-28 00:42:58
248,Ampanihy,-24.7,44.75,60.66,77,0,12.88,MG,2021-07-28 00:42:58
249,Portland,45.5234,-122.6762,90.37,42,20,1.99,US,2021-07-28 00:42:47
250,Ishigaki,24.3448,124.1572,86.13,84,75,4.61,JP,2021-07-28 00:42:58
251,Sarande,39.8756,20.0053,73.13,49,0,2.08,AL,2021-07-28 00:42:59
252,Erzincan,39.75,39.5,65.5,55,0,19.57,TR,2021-07-28 00:42:59
253,Yate,51.5407,-2.4184,62.13,92,39,5.97,GB,2021-07-28 00:42:59
254,Ontario,34.0633,-117.6509,100.87,36,20,8.01,US,2021-07-28 00:39:53
255,Gavrilov-Yam,57.3018,39.8533,53.44,90,13,2.93,RU,2021-07-28 00:43:00
256,Bambous Virieux,-20.3428,57.7575,67.21,100,75,14.97,MU,2021-07-28 00:43:00
257,Santa Maria Da Vitoria,-13.3947,-44.1886,70.86,43,4,2.01,BR,2021-07-28 00:41:42
258,Sisimiut,66.9395,-53.6735,51.69,67,99,7.14,GL,2021-07-28 00:43:01
259,Sao Filipe,14.8961,-24.4956,74.23,80,14,7.34,CV,2021-07-28 00:43:01
260,Mbanza-Ngungu,-5.25,14.8667,65.84,80,9,6.82,CD,2021-07-28 00:43:02
261,Thiruvananthapuram,8.4833,76.9167,78.78,94,40,0.0,IN,2021-07-28 00:42:18
262,Ancud,-41.8697,-73.8203,42.33,84,68,3.24,CL,2021-07-28 00:42:45
263,Abaetetuba,-1.7181,-48.8825,78.84,89,15,6.24,BR,2021-07-28 00:43:02
264,Lock Haven,41.137,-77.4469,80.2,68,67,4.99,US,2021-07-28 00:40:57
265,Merrill,45.1805,-89.6835,80.02,81,1,0.0,US,2021-07-28 00:43:03
266,Saint-Joseph,-21.3667,55.6167,68.38,87,64,14.67,RE,2021-07-28 00:43:03
267,Omsukchan,62.5333,155.8,45.46,67,100,9.62,RU,2021-07-28 00:43:03
268,Creston,41.0586,-94.3614,87.24,89,1,6.91,US,2021-07-28 00:43:04
269,Lobito,-12.3481,13.5456,69.85,85,7,0.45,AO,2021-07-28 00:43:04
270,Pochutla,15.7432,-96.4661,81.82,86,97,0.56,MX,2021-07-28 00:43:04
271,Zhengjiatun,43.5064,123.5064,83.32,58,100,4.68,CN,2021-07-28 00:43:05
272,Narsaq,60.9167,-46.05,46.62,73,99,2.86,GL,2021-07-28 00:43:05
273,San Luis,-33.295,-66.3356,38.41,41,1,8.1,AR,2021-07-28 00:41:34
274,Zabaykalsk,49.6333,117.3167,69.82,67,42,8.41,RU,2021-07-28 00:43:05
275,Lakhimpur,27.95,80.7667,78.84,92,100,4.54,IN,2021-07-28 00:43:06
276,Rabo De Peixe,37.8,-25.5833,67.51,77,20,11.5,PT,2021-07-28 00:42:09
277,Fortuna,40.5982,-124.1573,59.32,93,1,5.75,US,2021-07-28 00:43:06
278,Beaupre,47.0443,-70.8953,68.81,84,82,1.01,CA,2021-07-28 00:43:06
279,Lashio,22.9333,97.75,70.05,96,95,0.4,MM,2021-07-28 00:43:07
280,Kimbe,-5.5502,150.1429,88.38,60,37,2.82,PG,2021-07-28 00:43:07
281,Sola,-13.8833,167.55,79.47,89,75,9.22,VU,2021-07-28 00:43:07
282,Prince Rupert,54.3161,-130.3201,60.89,82,90,6.91,CA,2021-07-28 00:43:08
283,Torbay,47.6666,-52.7314,66.97,96,90,19.57,CA,2021-07-28 00:43:08
284,Vitre,48.1178,-1.2058,60.62,95,24,6.87,FR,2021-07-28 00:43:08
285,Puerto Escondido,15.85,-97.0667,77.83,69,75,6.91,MX,2021-07-28 00:43:09
286,Husavik,66.0449,-17.3389,49.91,99,100,9.28,IS,2021-07-28 00:43:09
287,Villa Carlos Paz,-31.4241,-64.4978,44.38,40,95,1.01,AR,2021-07-28 00:43:09
288,Vardo,70.3705,31.1107,48.4,86,97,15.32,NO,2021-07-28 00:43:10
289,Katherine,-14.4667,132.2667,79.12,61,48,5.75,AU,2021-07-28 00:41:18
290,Rethimnon,35.3647,24.4714,77.05,53,0,6.33,GR,2021-07-28 00:43:10
291,Bilma,18.6853,12.9164,86.9,49,94,8.01,NE,2021-07-28 00:43:11
292,Clonakilty,51.6231,-8.8706,54.61,83,99,14.85,IE,2021-07-28 00:43:11
293,Ahipara,-35.1667,173.1667,60.22,77,49,8.01,NZ,2021-07-28 00:43:11
294,Teguldet,57.3064,88.1667,56.79,79,91,1.41,RU,2021-07-28 00:43:12
295,Bukama,-9.2,25.85,63.23,42,95,3.62,CD,2021-07-28 00:43:12
